"Osca id","Last name","First name","Middle name",Extension,Birthday,Age,Gender,"Civil status","Religion id","Birth place",City,Barangay,Purok,"Gsis id","Philhealth id",Illness,Disability,"Educational attainment","Date of registration","Is active","Registry number","Date of death",Remarks,"Created at","Updated at",Type,error
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
173,Mitchell,Chester,"Macy Boyle",null,1964-05-23,60,F,widowed,1,"96057 Abernathy Ridges",Koronadal,Avanceña,"Purok 1",null,null,null,N/A,"master degree",2024-04-25,1,,,,"2025-03-03 19:55:31","2025-03-03 19:55:31",pensioner,"System error, please contact support."
504,Kreiger,Sarina,"Gudrun Kub",null,1964-10-04,60,M,single,1,"404 Block Village",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"master degree",2024-03-13,1,,,,"2025-03-03 19:29:15","2025-03-03 19:29:15",pensioner,"System error, please contact support."
299,Stokes,Nora,"Alexandro Casper",null,1964-03-13,60,F,widowed,1,"3197 Larson-Walsh Points",Koronadal,Assumption,"Purok 1",null,null,null,N/A,"elementary graduate",2024-05-22,0,536,,Date,"2025-03-03 19:36:00","2025-03-03 19:36:00",pensioner,"System error, please contact support."
