Osca id,Last name,First name,Middle name,Extension,Birthday,Age,Gender,Civil status,Religion id,Birth place,City,Barangay,Purok,Gsis id,Philhealth id,Illness,Disability,Educational attainment,Date of registration,Is active,Type
2472,KVGsUBo,lKapN,mED,848,12/14/1963,82,Male,Widowed,Roman Catholic,wvTUesDIWT,Koronadal,Santo Ni�o (Barrio 2),Purok 1,194814,7246982072,Diabetes,Visual Impairment,High School,5/23/2009,1,pensioner
1165,XOaqyAR,rQxYh,PVJ,612,5/9/1953,18,Male,Single,Islam,CgGMogIKcZ,Koronadal,Magsaysay,Purok 1,488010,4916927091,Diabetes,Hearing Impairment,College,9/14/2006,1,pensioner
4203,rIyHJLZ,xQUtZ,WiK,698,9/22/1992,52,Female,Divorced,Baptist,vVxgpHnYxs,Koronadal,Santa Cruz,Purok 1,987004,7427602077,Diabetes,Visual Impairment,College,7/22/2021,1,non-pensioner
2496,BNloomK,wiCvJ,nTS,299,3/4/1956,95,Male,Divorced,Roman Catholic,QihzPcnENn,Koronadal,Paraiso,Purok 1,555669,8137835364,Diabetes,Hearing Impairment,Elementary,4/23/2002,1,pensioner
6179,CGpmbaL,Jfgsm,KrB,773,8/11/1964,82,Male,Married,Islam,VIjqxCSSsc,Koronadal,San Isidro,Purok 1,443377,9525065684,Hypertension,None,Elementary,11/7/2019,1,non-pensioner
9189,aKwIAyl,sejHd,kvX,772,1/8/1991,27,Female,Divorced,Islam,rEWZeYIEue,Koronadal,San Roque,Purok 1,420620,7707210413,None,Visual Impairment,High School,3/29/2020,1,pensioner
7382,CsMlNfu,cnxRo,eoP,995,9/20/1965,38,Male,Married,Baptist,QcxRnpyNnP,Koronadal,Esperanza,Purok 1,635016,1036063902,None,Visual Impairment,College,1/10/2000,1,non-pensioner
1629,FuatpPl,oQMUB,los,325,7/23/1969,77,Male,Married,Baptist,ZpfxEmQEaq,Koronadal,Saravia (Barrio 8),Purok 1,430334,4020307614,Hypertension,Visual Impairment,High School,6/13/2006,1,non-pensioner
5737,WTNqjPH,GmRaS,kYp,232,8/20/1964,84,Male,Widowed,Roman Catholic,STdKahVNkg,Koronadal,Topland (Barrio 7),Purok 1,575995,3020937906,Diabetes,Visual Impairment,College,6/22/2001,1,non-pensioner
5247,dIpdYjB,okcNr,UWP,191,12/11/1962,38,Male,Single,Other,sWEpvPdvxM,Koronadal,Assumption (Bulol),Purok 1,330991,7889839555,Hypertension,Hearing Impairment,Elementary,12/31/2016,1,non-pensioner
4644,PdajMXj,RyowK,Pwn,339,12/1/1969,63,Male,Divorced,Other,SEHcOLJipc,Koronadal,Assumption (Bulol),Purok 1,392544,1645231760,None,Hearing Impairment,High School,6/2/2022,1,non-pensioner
1514,VBZZzBB,eNXQQ,uAf,180,10/3/1965,18,Male,Married,Baptist,NzfUyAWtce,Koronadal,Zone 3 (Poblacion),Purok 1,132711,7437404747,Diabetes,Hearing Impairment,High School,9/23/2001,1,pensioner
5466,VTLWuex,fdpIW,ypD,536,3/18/1987,44,Male,Married,Other,UZgeLzFWXf,Koronadal,Zone 4 (Poblacion),Purok 1,906462,4209086133,None,Visual Impairment,High School,3/23/2014,1,pensioner
3214,lfucPdL,EyflC,cdr,358,2/27/1954,39,Female,Divorced,Baptist,vVeVJyTRHj,Koronadal,Rotonda,Purok 1,351078,6963399279,None,None,College,2/20/2022,1,pensioner
7463,rmKHaoE,ThXjQ,yeg,163,11/12/1962,62,Female,Widowed,Roman Catholic,nBkcrdgDBX,Koronadal,Mabini,Purok 1,946331,8627617696,None,Visual Impairment,Elementary,9/11/2023,1,non-pensioner
6539,TpWoBFx,GSDqi,rNR,710,7/14/1972,50,Female,Divorced,Baptist,nBkcrdgDBX,Koronadal,Concepcion (Barrio 6),Purok 1,141688,9223119760,None,Hearing Impairment,College,2/3/2013,1,non-pensioner
2082,LJGiSTT,CQClQ,unK,349,2/28/1974,85,Female,Single,Other,KnLsuYfUwP,Koronadal,Rotonda,Purok 1,659974,8706148292,Diabetes,None,Elementary,6/5/2023,1,non-pensioner
7981,IgISnji,fSAyM,Uxf,767,11/27/1996,45,Male,Single,Roman Catholic,KSKFTuUDBU,Koronadal,Zone 3 (Poblacion),Purok 1,762736,8146318309,Hypertension,Visual Impairment,Elementary,9/8/2018,1,pensioner
7658,pOSAYlD,GlspE,xZW,204,4/8/1991,24,Female,Married,Baptist,MpeimCUOip,Koronadal,Caloocan,Purok 1,375737,5590623430,None,Hearing Impairment,High School,5/19/2013,1,non-pensioner
5112,NrAheks,gyetS,JbJ,491,10/20/1963,74,Female,Divorced,Other,fDOTUqlKFt,Koronadal,Zone 2 (Poblacion),Purok 1,715176,2252291351,Hypertension,Hearing Impairment,College,11/16/2017,1,pensioner
5081,fEDivXd,lNNRE,nmR,103,8/20/1964,92,Female,Widowed,Islam,ZousRPUNDX,Koronadal,Santo Ni�o (Barrio 2),Purok 1,467429,1002770495,Hypertension,None,High School,2/25/2016,1,pensioner
